FID,ID,NOMBRE,DESCRIPCION,DIRECCION,SDOGEOMETRIA,URL,EMAIL,CONTACTO,HORARIOS,PRECIOS,TITULARIDAD,TARJETAJOVEN,ACCESOPMR,NROPLAZAS,TOTALPLAZAS
da_aparcamientosMovilidadReducida.fid--175d4967_1a00d91a118_-6d2e,66426,APARCAPMR_1087,Esq. con Cl. Virgen Inmaculada,"CALLE VIRGEN DEL ROCÍO, 26 ",POINT (371223.676926603 4064490.09225968),,,,,,MUNICIPAL,No,No,1,2028
da_aparcamientosMovilidadReducida.fid--175d4967_1a00d91a118_-6d2d,67144,APARCAPMR_007,Junto al vial de servicio del Puente de las Américas,"PUENTE DE LAS AMÉRICAS, 1 ",POINT (371641.422099383 4064431.8089728),,,,,,MUNICIPAL,No,No,2,2028
da_aparcamientosMovilidadReducida.fid--175d4967_1a00d91a118_-6d2c,80837,APARCAPMR_1465,,"CALLE PALOMA, 8 ",POINT (359704.505250121 4066057.9504899),,,,,,MUNICIPAL,No,No,1,2028
da_aparcamientosMovilidadReducida.fid--175d4967_1a00d91a118_-6d2b,77990,APARCAPMR_1366,Esquina Av. Imperio Argentina,"CAMINO DE LA TÉRMICA, 91 ",POINT (370366.262734954 4060450.94548477),,,,,,MUNICIPAL,No,No,2,2028
da_aparcamientosMovilidadReducida.fid--175d4967_1a00d91a118_-6d2a,66446,APARCAPMR_929,Esquina calle Eugenio Selles,"PASEO DE LAS ACACIAS, 8 ",POINT (377687.95809378 4064836.53688192),,,,,,MUNICIPAL,No,No,1,2028
da_aparcamientosMovilidadReducida.fid--175d4967_1a00d91a118_-6d29,66341,APARCAPMR_066,Esquina con Avda. Carlos Haya,"CARRIL DE SANTA ROSA, 3 ",POINT (370900.851183112 4064940.03672681),,,,,,MUNICIPAL,No,No,4,2028
da_aparcamientosMovilidadReducida.fid--175d4967_1a00d91a118_-6d28,67081,APARCAPMR_302,Frente al nº 18,"CALLE SÁNCHEZ ALBARRÁN, 21 ",POINT (373236.849785472 4067732.30813876),,,,,,MUNICIPAL,No,No,2,2028
da_aparcamientosMovilidadReducida.fid--175d4967_1a00d91a118_-6d27,66471,APARCAPMR_1126,,"CALLE PEDRO XIMEN, 3B",POINT (373633.999808832 4067523.99999958),,,,,,MUNICIPAL,No,No,1,2028
da_aparcamientosMovilidadReducida.fid--175d4967_1a00d91a118_-6d26,66757,APARCAPMR_1136,Esq. Paseo Martiricos,"PASEO MARTIRICOS, 41 ",POINT (372566.000402812 4066106.00003837),,,,,,MUNICIPAL,No,No,2,2028
da_aparcamientosMovilidadReducida.fid--175d4967_1a00d91a118_-6d25,66843,APARCAPMR_1135,Esq. Paseo Martiricos,"PASEO MARTIRICOS, 41 ",POINT (372574.999625227 4066116.00017682),,,,,,MUNICIPAL,No,No,2,2028
