FID,ID,NOMBRE,DESCRIPCION,DIRECCION,SDOGEOMETRIA,URL,EMAIL,CONTACTO,HORARIOS,PRECIOS,TITULARIDAD,TARJETAJOVEN,ACCESOPMR,NROPLAZAS,TOTALPLAZAS
da_aparcamientosBici.fid--175d4967_1a00d9bb795_1011,65931,APARCABICIS_082,Esquina con c/ Blas de Lezo,"AVENIDA DEL ARROYO DE LOS ÁNGELES, 43 ",POINT (371979.292780475 4065805.87144192),,,,,,MUNICIPAL,No,No,4,2084
da_aparcamientosBici.fid--175d4967_1a00d9bb795_1012,65930,APARCABICIS_081,Frente al Cuartel de la Guardia Civil,"AVENIDA DEL ARROYO DE LOS ÁNGELES, 27 ",POINT (372185.260604669 4065705.46701001),,,,,,MUNICIPAL,No,No,8,2084
da_aparcamientosBici.fid--175d4967_1a00d9bb795_1013,65892,APARCABICIS_013,Av. COmandante Benítez esquina Puente del Pechel.,"AVENIDA DEL COMANDANTE BENÍTEZ, 8 ",POINT (372663.847581901 4064144.97313701),,,,,,MUNICIPAL,No,No,10,2084
da_aparcamientosBici.fid--175d4967_1a00d9bb795_1014,65914,APARCABICIS_014,A la altura de la Facultad de económicas,"CALLE EJIDO, 6 ",POINT (373382.696947164 4065615.65115026),,,,,,MUNICIPAL,No,No,8,2084
da_aparcamientosBici.fid--175d4967_1a00d9bb795_1015,66083,APARCABICIS_293,A la altura del números 6-8,"CALLE GUADALETE, 6 ",POINT (371580.305470792 4062722.42058241),,,,,,MUNICIPAL,No,No,6,2084
da_aparcamientosBici.fid--175d4967_1a00d9bb795_1016,66079,APARCABICIS_281,Esquina c/ Virgen de Belen,"AVENIDA DE ISAAC PERAL, 21 ",POINT (369892.119541123 4062059.15781861),,,,,,MUNICIPAL,No,No,8,2084
da_aparcamientosBici.fid--175d4967_1a00d9bb795_1017,65874,APARCABICIS_326,Esq. Av. Manuel Agustín Heredia,"AVENIDA DE MANUEL AGUSTÍN HEREDIA, 26 ",POINT (372827.99962588 4064042.00037181),,,,,,MUNICIPAL,No,No,5,2084
da_aparcamientosBici.fid--175d4967_1a00d9bb795_1018,66055,APARCABICIS_264,Esquina calle Segismundo Moret,"CALLE MARQUÉS DE OVIECO, 12 ",POINT (371641.317026843 4065741.02885812),,,,,,MUNICIPAL,No,No,8,2084
da_aparcamientosBici.fid--175d4967_1a00d9bb795_1019,65934,APARCABICIS_090,Frente al Colegio de Gamarra,"CALLE DOCTOR ESCASSI, 4 ",POINT (371421.8716032 4065016.84982353),,,,,,MUNICIPAL,No,No,6,2084
da_aparcamientosBici.fid--175d4967_1a00d9bb795_101a,65981,APARCABICIS_194,Esquina con c/ Montaño.,"PLAZA DE MONTAÑO, 4 ",POINT (373150.50165745 4065365.09866717),,,,,,MUNICIPAL,No,No,8,2084
da_aparcamientosBici.fid--175d4967_1a00d9bb795_101b,66010,APARCABICIS_190,Frente a c/ Miguel Moya.,"CALLE ALONSO CARRILLO DE ALBORNOZ, 5 ",POINT (378464.250704476 4064752.57390373),,,,,,MUNICIPAL,No,No,8,2084
da_aparcamientosBici.fid--175d4967_1a00d9bb795_101c,65928,APARCABICIS_055,Frente a c/ Pintor Martínez Cubells.,"CALLE MANUEL DE PALACIO, 14 ",POINT (377607.0257943 4065258.81641793),,,,,,MUNICIPAL,No,No,6,2084
da_aparcamientosBici.fid--175d4967_1a00d9bb795_101d,65997,APARCABICIS_201,Junto a Colegio.,"CALLE ESCULTOR MARÍN HIGUERO, 4 ",POINT (378144.218756925 4064848.22372861),,,,,,MUNICIPAL,No,No,8,2084
