"Codigo de via";"Clase de la via";"Particula de la via";"Nombre de la via";"Tipo de tramo ";"Nombre de la aproximacion";"Numero inicial del tramo";"Calificador del numero inicial del tramo";"Numero final del tramo";"Calificador del numero final del tramo";"Zona S E R  del tramo"
"00000870";"CALLE                   ";"DEL   ";"TEJO                                            ";"par  ";"NUM";"000002";"  ";"000998";"  ";"000027"
"00000871";"CALLE                   ";"DEL   ";"JACARANDA                                       ";"impar";"NUM";"000001";"  ";"000999";"  ";"000027"
"00000871";"CALLE                   ";"DEL   ";"JACARANDA                                       ";"par  ";"NUM";"000002";"  ";"000998";"  ";"000027"
"00000872";"CALLE                   ";"DEL   ";"ALMEZ                                           ";"impar";"NUM";"000001";"  ";"000999";"  ";"000027"
"00000872";"CALLE                   ";"DEL   ";"ALMEZ                                           ";"par  ";"NUM";"000002";"  ";"000998";"  ";"000027"
"00000873";"CALLE                   ";"DEL   ";"ACANTO                                          ";"impar";"NUM";"000001";"  ";"000999";"  ";"000027"
"00000873";"CALLE                   ";"DEL   ";"ACANTO                                          ";"par  ";"NUM";"000002";"  ";"000998";"  ";"000027"
"00000874";"CALLE                   ";"DE LA ";"RETAMA                                          ";"impar";"NUM";"000001";"  ";"000999";"  ";"000027"
"00000874";"CALLE                   ";"DE LA ";"RETAMA                                          ";"par  ";"NUM";"000002";"  ";"000998";"  ";"000027"
"00000875";"CALLE                   ";"DEL   ";"OMBU                                            ";"impar";"NUM";"000001";"  ";"000999";"  ";"000027"
"00000875";"CALLE                   ";"DEL   ";"OMBU                                            ";"par  ";"NUM";"000002";"  ";"000998";"  ";"000027"
"00000876";"CALLE                   ";"DE LA ";"KENTIA                                          ";"impar";"NUM";"000001";"  ";"000999";"  ";"000027"
"00000876";"CALLE                   ";"DE LA ";"KENTIA                                          ";"par  ";"NUM";"000002";"  ";"000998";"  ";"000027"
"00000877";"CALLE                   ";"DEL   ";"TAMARINDO                                       ";"impar";"NUM";"000001";"  ";"000999";"  ";"000027"
"00000877";"CALLE                   ";"DEL   ";"TAMARINDO                                       ";"par  ";"NUM";"000002";"  ";"000998";"  ";"000027"
"00000878";"CALLE                   ";"DE    ";"DENIA                                           ";"impar";"NUM";"000001";"  ";"000999";"  ";"000094"
"00000878";"CALLE                   ";"DE    ";"DENIA                                           ";"par  ";"NUM";"000002";"  ";"000998";"  ";"000094"
"00000879";"CALLE                   ";"DE    ";"VALLDEMOSA                                      ";"impar";"NUM";"000001";"  ";"000047";"  ";"000094"
"00000879";"CALLE                   ";"DE    ";"VALLDEMOSA                                      ";"par  ";"NUM";"000002";"  ";"000034";"  ";"000094"
"00000880";"CALLE                   ";"DEL   ";"VALLE DE BELAGUA                                ";"impar";"NUM";"000001";"  ";"000049";"  ";"000094"
"00000880";"CALLE                   ";"DEL   ";"VALLE DE BELAGUA                                ";"par  ";"NUM";"000002";"  ";"000016";"  ";"000094"
"00000881";"CALLE                   ";"DEL   ";"VALLE DE ANSO                                   ";"impar";"NUM";"000001";"  ";"099999";"  ";"000094"
"00000881";"CALLE                   ";"DEL   ";"VALLE DE ANSO                                   ";"par  ";"NUM";"000002";"  ";"099998";"  ";"000094"
"00000882";"CALLE                   ";"DEL   ";"VALLE DE CACHEMIRA                              ";"impar";"NUM";"000001";"  ";"099999";"  ";"000094"
"00000882";"CALLE                   ";"DEL   ";"VALLE DE CACHEMIRA                              ";"par  ";"NUM";"000002";"  ";"099998";"  ";"000094"
"00000883";"CALLE                   ";"DEL   ";"VALLE DEL BAZTAN                                ";"impar";"NUM";"000001";"  ";"099999";"  ";"000094"
"00000883";"CALLE                   ";"DEL   ";"VALLE DEL BAZTAN                                ";"par  ";"NUM";"000002";"  ";"099998";"  ";"000094"
"00000884";"CALLE                   ";"DEL   ";"VALLE DE CARDOS                                 ";"impar";"NUM";"000001";"  ";"099999";"  ";"000094"
"00000884";"CALLE                   ";"DEL   ";"VALLE DE CARDOS                                 ";"par  ";"NUM";"000002";"  ";"099998";"  ";"000094"
"00000917";"PASEO                   ";"DE    ";"JUAN ANTONIO VALLEJO-NAJERA BOTAS               ";"impar";"NUM";"000011";"  ";"000045";"  ";"000022"
"00000917";"PASEO                   ";"DE    ";"JUAN ANTONIO VALLEJO-NAJERA BOTAS               ";"impar";"NUM";"000047";"  ";"000999";"  ";"000021"
"00000917";"PASEO                   ";"DE    ";"JUAN ANTONIO VALLEJO-NAJERA BOTAS               ";"par  ";"NUM";"000002";"  ";"000040";"  ";"000022"
"00000917";"PASEO                   ";"DE    ";"JUAN ANTONIO VALLEJO-NAJERA BOTAS               ";"par  ";"NUM";"000042";"  ";"000998";"  ";"000021"
"00000918";"CALLE                   ";"DEL   ";"ARANDANO                                        ";"impar";"NUM";"000001";"  ";"000999";"  ";"000065"
"00000918";"CALLE                   ";"DEL   ";"ARANDANO                                        ";"par  ";"NUM";"000002";"  ";"000998";"  ";"000065"
"00000929";"CALLE                   ";"DE LA ";"NEGUILLA                                        ";"impar";"NUM";"000001";"  ";"000999";"  ";"000102"
"00000929";"CALLE                   ";"DE LA ";"NEGUILLA                                        ";"par  ";"NUM";"000002";"  ";"000998";"  ";"000102"
"00000930";"CALLE                   ";"DE LA ";"GENISTA                                         ";"impar";"NUM";"000001";"  ";"000999";"  ";"000102"
"00000930";"CALLE                   ";"DE LA ";"GENISTA                                         ";"par  ";"NUM";"000002";"  ";"000998";"  ";"000102"
"00000932";"TRAVESIA                ";"DE LA ";"VIRGEN DE LA ROCA                               ";"impar";"NUM";"000001";"  ";"000029";"  ";"000154"
"00000932";"TRAVESIA                ";"DE LA ";"VIRGEN DE LA ROCA                               ";"par  ";"NUM";"000002";"  ";"000018";"  ";"000154"
"00000933";"PASAJE                  ";"DE LA ";"VIRGEN DE LA ALEGRIA                            ";"impar";"NUM";"000001";"  ";"000013";"  ";"000154"
"00000933";"PASAJE                  ";"DE LA ";"VIRGEN DE LA ALEGRIA                            ";"par  ";"NUM";"000002";"  ";"000030";"  ";"000154"
"00000935";"CALLE                   ";"DE    ";"BECERREA                                        ";"impar";"NUM";"000001";"  ";"000999";"  ";"000084"
"00000935";"CALLE                   ";"DE    ";"BECERREA                                        ";"par  ";"NUM";"000002";"  ";"000998";"  ";"000084"
"00000944";"CALLE                   ";"DEL   ";"DOCTOR RAMON CASTROVIEJO                        ";"impar";"NUM";"000001";"  ";"000031";"  ";"000084"
"00000945";"PASEO                   ";"DE LA ";"VAGUADA                                         ";"impar";"NUM";"000001";"  ";"000999";"  ";"000084"
"00000951";"CALLE                   ";"DE    ";"FELIX RODRIGUEZ DE LA FUENTE                    ";"impar";"NUM";"000089";"  ";"000091";"  ";"000151"
"00000964";"TRAVESIA                ";"DE    ";"TELLEZ                                          ";"impar";"NUM";"000001";"  ";"000999";"  ";"000031"
"00000964";"TRAVESIA                ";"DE    ";"TELLEZ                                          ";"par  ";"NUM";"000002";"  ";"000998";"  ";"000031"
"00000965";"PLAZA                   ";"DE LA ";"VIRGEN DE LA PALOMA                             ";"impar";"NUM";"000001";"  ";"000999";"  ";"000011"
"00000965";"PLAZA                   ";"DE LA ";"VIRGEN DE LA PALOMA                             ";"par  ";"NUM";"000002";"  ";"000998";"  ";"000011"
"00000966";"CALLE                   ";"DE    ";"ISABEL TINTERO                                  ";"impar";"NUM";"000001";"  ";"000999";"  ";"000011"
"00000966";"CALLE                   ";"DE    ";"ISABEL TINTERO                                  ";"par  ";"NUM";"000002";"  ";"000998";"  ";"000011"
"00000967";"CALLE                   ";"DE    ";"GARGANTA DE LOS MONTES                          ";"impar";"NUM";"000001";"  ";"000999";"  ";"000027"
"00000967";"CALLE                   ";"DE    ";"GARGANTA DE LOS MONTES                          ";"par  ";"NUM";"000002";"  ";"000998";"  ";"000027"
"00000983";"CALLE                   ";"DEL   ";"ALBARDIN                                        ";"impar";"NUM";"000001";"  ";"099999";"  ";"000126"
"00000983";"CALLE                   ";"DEL   ";"ALBARDIN                                        ";"par  ";"NUM";"000002";"  ";"099998";"  ";"000126"
"00000989";"CALLE                   ";"DEL   ";"CENTENO                                         ";"impar";"NUM";"000001";"  ";"099999";"  ";"000126"
"00000989";"CALLE                   ";"DEL   ";"CENTENO                                         ";"par  ";"NUM";"000002";"  ";"099998";"  ";"000126"
"00001036";"CALLE                   ";"DEL   ";"PUERTO DE BEJAR                                 ";"impar";"NUM";"000001";"  ";"000999";"  ";"000024"
"00001036";"CALLE                   ";"DEL   ";"PUERTO DE BEJAR                                 ";"par  ";"NUM";"000002";"  ";"000998";"  ";"000024"
"00001063";"PASAJE                  ";"DE    ";"FERNANDO DIAZ DE MENDOZA                        ";"impar";"NUM";"000001";"  ";"099999";"  ";"000111"
"00001063";"PASAJE                  ";"DE    ";"FERNANDO DIAZ DE MENDOZA                        ";"par  ";"NUM";"000002";"  ";"099998";"  ";"000111"
"00001095";"CALLE                   ";"DE LA ";"SENDA DEL REY                                   ";"impar";"NUM";"000001";"  ";"009999";"  ";"000091"
"00001095";"CALLE                   ";"DE LA ";"SENDA DEL REY                                   ";"par  ";"NUM";"000002";"  ";"009998";"  ";"000091"
"00001150";"CALLE                   ";"DE    ";"ABDON TERRADAS                                  ";"impar";"NUM";"000001";"  ";"000999";"  ";"000071"
"00001150";"CALLE                   ";"DE    ";"ABDON TERRADAS                                  ";"par  ";"NUM";"000002";"  ";"000998";"  ";"000071"
"00001157";"PASAJE                  ";"DE    ";"HOYUELO                                         ";"impar";"NUM";"000001";"  ";"000999";"  ";"000031"
"00001157";"PASAJE                  ";"DE    ";"HOYUELO                                         ";"par  ";"NUM";"000002";"  ";"000998";"  ";"000031"
"00001158";"CALLE                   ";"DE LAS";"COCHERAS                                        ";"impar";"NUM";"000001";"  ";"000999";"  ";"000031"
"00001158";"CALLE                   ";"DE LAS";"COCHERAS                                        ";"par  ";"NUM";"000002";"  ";"000998";"  ";"000031"
"00001159";"PASAJE                  ";"DEL   ";"ALBERCHE                                        ";"impar";"NUM";"000001";"  ";"000999";"  ";"000031"
"00001159";"PASAJE                  ";"DEL   ";"ALBERCHE                                        ";"par  ";"NUM";"000002";"  ";"000998";"  ";"000031"
"00001191";"PLAZA                   ";"DE    ";"CASAR DE CACERES                                ";"impar";"NUM";"000001";"  ";"000999";"  ";"000025"
"00001191";"PLAZA                   ";"DE    ";"CASAR DE CACERES                                ";"par  ";"NUM";"000002";"  ";"000998";"  ";"000025"
"00001194";"PASAJE                  ";"DE LOS";"MAESTROS LADRILLEROS                            ";"impar";"NUM";"000001";"  ";"000999";"  ";"000065"
"00001194";"PASAJE                  ";"DE LOS";"MAESTROS LADRILLEROS                            ";"par  ";"NUM";"000002";"  ";"000998";"  ";"000065"
"00001200";"CALLE                   ";"DEL   ";"ABEDUL                                          ";"impar";"NUM";"000001";"  ";"000999";"  ";"000055"
