osm_id,tipo_dato,lat,lon,nombre,operador,horario,zona
node/8929170625,parking_entrance,40.4180325,-3.6911307,,,,
node/8929170630,parking_entrance,40.4182275,-3.692395,,,,
node/8932326890,parking_entrance,43.7696742,3.8651739,,,,
node/8932853376,parking_entrance,43.2362967,2.3687332,,,,
node/8933053163,parking_entrance,36.7782748,-4.1051988,,,,
node/8935124348,parking_entrance,40.4253105,-3.6938343,,,,
node/8935124349,parking_entrance,40.4254763,-3.69378,,,,
node/8935902532,parking_entrance,36.509369,-4.8892384,,,,
node/8937584214,parking_entrance,40.4918353,-3.6075383,Entrada parking Ahorramás,,,
node/8938779572,parking_entrance,42.3365938,-3.723451,,,,
node/8939816382,parking_entrance,41.6342308,-1.0152613,,,,
node/8940990297,parking_entrance,36.782133,-4.1040806,Aparcamiento Público Plaza del Carmen,,,
node/8943717745,parking_entrance,43.2929049,-0.3731307,,,,
node/8945242967,parking_entrance,43.6001757,1.3526816,,,,
node/8946215554,parking_entrance,39.1051168,-0.2238564,,,,
node/8947032765,parking_entrance,36.5949069,-4.6355328,,,,
node/8947372391,parking_entrance,43.3239327,-1.9749716,,,,
node/8948796810,parking_entrance,38.7040916,1.4278643,,,,
node/8948853054,parking_entrance,38.7039238,1.4283295,,,,
node/8952194868,parking_entrance,36.7004433,-2.7878729,,,,
node/8952392257,parking_entrance,38.7059426,1.430669,,,,
node/8956496566,parking_entrance,43.4810955,-3.8044211,,,,
node/8956547052,parking_entrance,43.6181424,1.4652178,,,,
node/8957647988,parking_entrance,28.0972316,-15.4466211,,,,
node/8963303544,parking_entrance,40.4877552,-3.6954342,,,,
node/8963996217,parking_entrance,40.4376551,-3.6941524,,,,
node/8963996219,parking_entrance,40.4376802,-3.6941515,,,,
node/8968672396,parking_entrance,41.3735058,2.1009848,,,,
node/8968816792,parking_entrance,42.9554347,1.6057058,,,,
node/8968816796,parking_entrance,42.9551967,1.6057044,,,,
node/8968816798,parking_entrance,42.9553153,1.6056427,,,,
node/8968816800,parking_entrance,42.9544348,1.6050657,,,,
node/8971508379,parking_entrance,43.4790192,-3.8009798,,,,
node/8971534817,parking_entrance,43.479638,-3.800241,,,,
node/8971534819,parking_entrance,43.4798377,-3.800061,,,,
node/8971534890,parking_entrance,43.4794284,-3.7989967,,,,
node/8971534891,parking_entrance,43.4793193,-3.8000258,,,,
node/8971534927,parking_entrance,43.478746,-3.8005718,,,,
node/8971550772,parking_entrance,43.4599182,-3.8377407,,,,
node/8971550776,parking_entrance,43.4596442,-3.8393709,,,,
node/8971560317,parking_entrance,43.4589034,-3.8352765,Aparcamiento de La Marga (salida norte),,,
node/8973580291,parking_entrance,40.3166264,-3.7404895,,,,
node/8973580292,parking_entrance,40.3166746,-3.7398203,,,,
node/8974421449,parking_entrance,40.4506548,-3.463759,,,,
node/8974932303,parking_entrance,41.6307372,-0.8836221,,,,
node/8975481275,parking_entrance,38.6496832,0.0732961,,Consum,,
node/8975481277,parking_entrance,38.6502441,0.0716392,,Mercadona,,
node/8975481279,parking_entrance,38.7170135,0.058336,Consum,,,
node/8975481286,parking_entrance,38.3436669,-0.4798952,Parking Plaça del Port - Plaza del Puerto,,,
node/8976739088,parking_entrance,43.6080046,3.8926002,,,,
node/8982963042,parking_entrance,41.4369769,2.1824318,El Corte Inglés (Can Dragó),,,
node/8983032341,parking_entrance,36.4750521,-6.2074804,,,,
node/8983032342,parking_entrance,36.4733367,-6.2067891,,,,
node/8984199499,parking_entrance,40.4744897,-3.6880866,,,,
node/8987447911,parking_entrance,43.473498,-3.8120431,,,,
node/8987447914,parking_entrance,43.4732573,-3.8131463,,,,
