Direccion;Latitud;Longitud;Coordenadas
Calle  Siete Vientos, 52;40.2989163376398;-3.44425258734312;40.2989163376398, -3.44425258734312
Calle de la Comprensión, 8;40.3085670475429;-3.44393035792843;40.3085670475429, -3.44393035792843
Callejón de la Paloma, 1;40.2998697721398;-3.43985143982537;40.2998697721398, -3.43985143982537
Avda del Instituto, 7;40.2980783844426;-3.44024483641729;40.2980783844426, -3.44024483641729
Avda del Instituto, 13;40.2976812521086;-3.44062206644522;40.2976812521086, -3.44062206644522
Cmno del Molino, 14;40.2959910599198;-3.43260134456952;40.2959910599198, -3.43260134456952
Cmno del Molino, 3;40.2953656664989;-3.43270382379695;40.2953656664989, -3.43270382379695
Calle  Virgen de las Mercedes, 4;40.3029160986592;-3.44711303626277;40.3029160986592, -3.44711303626277
Calle de la Cruz, 19;40.2995295037069;-3.4369360254445;40.2995295037069, -3.4369360254445
Calle  Juan de Austria, 6;40.2981401906732;-3.43305001161824;40.2981401906732, -3.43305001161824
Parking Era Vedia;40.3017106508815;-3.44400776719988;40.3017106508815, -3.44400776719988
Calle  Miralparque, 15;40.3036398887985;-3.44264098718183;40.3036398887985, -3.44264098718183
Calle  Don Quijote de la Mancha, 4;40.3011619428499;-3.44425303490745;40.3011619428499, -3.44425303490745
Calle  Valle Inclán, 66;40.2969279143638;-3.44176634656653;40.2969279143638, -3.44176634656653
Calle del Portal de Belén, 36;40.3177437837925;-3.47581847241004;40.3177437837925, -3.47581847241004
Calle del Portal de Belén, 9;40.3167091939917;-3.475978590348;40.3167091939917, -3.475978590348
Calle  Piragua, 2;40.2945468893776;-3.43612075473173;40.2945468893776, -3.43612075473173
Calle  Piragua, 2;40.2944753357877;-3.43613196871969;40.2944753357877, -3.43613196871969
Calle  Piragua, 2;40.2943978520265;-3.4361353615097;40.2943978520265, -3.4361353615097
Urb. de la Estrella de Oriente, 6;40.3152327504992;-3.4758038004456;40.3152327504992, -3.4758038004456
Calle del Velero, 6;40.2955605559143;-3.43358621734873;40.2955605559143, -3.43358621734873
Calle  Maestro Miguel Chicote, 11;40.3018231175063;-3.44838032012045;40.3018231175063, -3.44838032012045
Calle  Monte Igueldo, 3;40.3153610016674;-3.48021037664226;40.3153610016674, -3.48021037664226
Ctra de Loeches, 36;40.3040220254214;-3.44459073619321;40.3040220254214, -3.44459073619321
Calle  Maestro Miguel Chicote, 11;40.3018463894935;-3.44835239780615;40.3018463894935, -3.44835239780615
Calle  Adolfo Marsillach, 8;40.3012031862013;-3.44702242394493;40.3012031862013, -3.44702242394493
Ronda de Batres, 10;40.3025946518021;-3.43832804951508;40.3025946518021, -3.43832804951508
Calle  Real, 127;40.2980735570308;-3.43027137526951;40.2980735570308, -3.43027137526951
Calle de la Cruz, 7;40.2997624766398;-3.43744293965285;40.2997624766398, -3.43744293965285
Calle de la Canoa, 5;40.2953329160697;-3.43321561716685;40.2953329160697, -3.43321561716685
Calle  Jorge Manrique, 10;40.3020865850246;-3.43400471110708;40.3020865850246, -3.43400471110708
Calle  Doctor Marañón, 4;40.302836531065;-3.43812071526657;40.302836531065, -3.43812071526657
Calle  Generosidad, 12;40.3137880004827;-3.44382840147554;40.3137880004827, -3.44382840147554
Ronda de Batres, 28;40.3028741565641;-3.44057568551417;40.3028741565641, -3.44057568551417
Calle  Real, 85;40.2990451728317;-3.4334363061404;40.2990451728317, -3.4334363061404
Calle  Noisy Le Sec, 65;40.297185181767;-3.445402772221;40.297185181767, -3.445402772221
Calle  Peñón de Gibraltar, 14;40.3001044097518;-3.44027432868403;40.3001044097518, -3.44027432868403
Calle  Puerta del Campo, 43;40.303593426961;-3.43734073800214;40.303593426961, -3.43734073800214
Ctra de Loeches, 53;40.3041982727909;-3.44516319811387;40.3041982727909, -3.44516319811387
Ctra de Loeches, 37;40.3033798020051;-3.44372555622637;40.3033798020051, -3.44372555622637
