direccion,foto,longitud,latitud
"C/, LOPE GISBERT, FRENTE A ANTIGUA COMISARIA (DOS RESERVAS)","https://www.lorca.es/ficheros/File/parking-disabled/imagen-plazas/plaza1.jpg","-1.69676537413181","37.6765009305095"
"Alameda Cervantes, frente n  21.","https://www.lorca.es/ficheros/File/parking-disabled/imagen-plazas/plaza1.jpg","-1.69665940992581","37.6673204545814"
"Plaza Real junto a Biblioteca Municipal (Travesía Eugenio Úbeda, 4)","https://www.lorca.es/ficheros/File/parking-disabled/imagen-plazas/SANTA ROSA DE LIMA parte por detras [600].jpg","-1.69633648773151","37.6770599551867"
"Plaza Real junto a Biblioteca Municipal (Travesía Eugenio Úbeda, 4)","https://www.lorca.es/ficheros/File/parking-disabled/imagen-plazas/plaza1.jpg","-1.69633313497025","37.6770636702326"
"Plaza Real junto a Biblioteca Municipal (Travesía Eugenio Úbeda, 3)","https://www.lorca.es/ficheros/File/parking-disabled/imagen-plazas/plaza1.jpg","-1.69630602948246","37.6770679968602"
"C/Muso Valiente altura del Hotel Alameda","https://www.lorca.es/ficheros/File/parking-disabled/imagen-plazas/plaza1.jpg","-1.6962980479002","37.6749617792828"
"Plaza de Carruajes,frente a servicios sociales(Renfe)","https://www.lorca.es/ficheros/File/parking-disabled/imagen-plazas/plaza1.jpg","-1.69628249439074","37.6722019333335"
"PINTOR EMILIANO ROJO, FRENTE AL CENTRO SALUD MENTAL","https://www.lorca.es/ficheros/File/parking-disabled/imagen-plazas/plaza1.jpg","-1.69622690526762","37.6632059411794"
"C/Actor Ramón Meca","https://www.lorca.es/ficheros/File/parking-disabled/imagen-plazas/plaza1.jpg","-1.69605778144114","37.6654189862467"
"C/Grecia","https://www.lorca.es/ficheros/File/parking-disabled/imagen-plazas/plaza1.jpg","-1.69595972698357","37.6652335640551"
"CALLEJON DE LOS FRAILES, frente al vado permanente 9040","https://www.lorca.es/ficheros/File/parking-disabled/imagen-plazas/plaza1.jpg","-1.69557998572204","37.6787511697885"
"Alameda de Cervantes, frente al n  44, junto y frente  al LILD. (dos reservas)","https://www.lorca.es/ficheros/File/parking-disabled/imagen-plazas/plaza1.jpg","-1.69557043306577","37.6659488792007"
"C/Poeta Para Vico y Alameda de Cervantes (junto a lid´l)","https://www.lorca.es/ficheros/File/parking-disabled/imagen-plazas/plaza1.jpg","-1.69555829795672","37.6657890669963"
"Alameda de Cervantes, frente edif. Columbia.","https://www.lorca.es/ficheros/File/parking-disabled/imagen-plazas/Grecia36 [600].JPG","-1.69550875078733","37.6653930212652"
"C/Grecia y Travesía Alam. Cervantes (C/Azahar)","https://www.lorca.es/ficheros/File/parking-disabled/imagen-plazas/Azahar38 [600].JPG","-1.69539990634257","37.6644350584505"
"RAFAEL SANCHEZ CAMPOY, FRENTE N  1","https://www.lorca.es/ficheros/File/parking-disabled/imagen-plazas/plaza1.jpg","-1.69532031862059","37.6632229274157"
