gis_x;gis_y;fecha_de_alta;fecha_de_baja;cod_distrito;distrito;cod_barrio;num_barrio;barrio;calle;numero_finca;matricula;longitud;latitud
440529.0347270000;4473187.9190360000;2014-05-30;1900-01-08;1;Centro;12;2;Embajadores;AMPARO, CALLE, DE;87;0301210057;-3.7008880980;40.4071827250
439829.4080671500;4473148.5712663000;2014-05-29;1900-01-08;1;Centro;12;2;Embajadores;ARGANZUELA, CALLE, DE LA;35;0301210053;-3.7091291790;40.4067787320
439770.6462550000;4473304.0500810000;2014-05-29;1900-01-08;1;Centro;12;2;Embajadores;ARGANZUELA, CALLE, DE LA;FRENTE 12;0301210036;-3.7098363810;40.4081749160
440718.9889975990;4473280.9927387400;2014-05-28;1900-01-08;1;Centro;12;2;Embajadores;ARGUMOSA, CALLE, DE;16;0301210015;-3.6986582040;40.4080348850
440793.2646951030;4473275.6237292600;2014-05-29;1900-01-08;1;Centro;12;2;Embajadores;ARGUMOSA, CALLE, DE;27;0301210052;-3.6977823800;40.4079921420
440952.8562049150;4473193.3249707500;2014-05-30;1900-01-08;1;Centro;12;2;Embajadores;ARGUMOSA, CALLE, DE;32;0301210060;-3.6958940260;40.4072616780
440630.2212810000;4473311.6805300000;2014-05-29;1900-01-08;1;Centro;12;2;Embajadores;ARGUMOSA, CALLE, DE;7;0301210042;-3.6997071180;40.4083047480
441085.1556642660;4473489.9927387400;2014-05-29;1900-01-08;1;Centro;12;2;Embajadores;ATOCHA, CALLE, DE;119;0301210033;-3.6943623950;40.4099433500
440424.6556642660;4473907.4510720700;2014-05-28;1900-01-08;1;Centro;12;2;Embajadores;ATOCHA, CALLE, DE;35;0301210006;-3.7021854460;40.4136577780
440854.7937800000;4473129.5172630000;2014-05-30;1900-01-08;1;Centro;12;2;Embajadores;ATOCHA, RONDA, DE;16;0301210061;-3.6970437810;40.4066801260
440571.9395446700;4473635.0384606700;2026-05-29;1900-01-08;1;Centro;12;2;Embajadores;AVE MARIA, CALLE, DEL;14;0301210016;-3.7004241740;40.4112139980
440520.8871110000;4473546.9684990000;2014-05-28;1900-01-08;1;Centro;12;2;Embajadores;AVE MARIA, CALLE, DEL;32;0301210019;-3.7010176440;40.4104168420
439908.0508910000;4473148.5247830000;2014-05-30;1900-01-08;1;Centro;12;2;Embajadores;CAMPILLO DEL MUNDO NUEVO, PLAZA, DEL;2;0301210066;-3.7082023630;40.4067836600
440469.3478130260;4473832.3281381900;2014-05-28;1900-01-08;1;Centro;12;2;Embajadores;CAÑIZARES, CALLE, DE LOS;3;0301210007;-3.7016517360;40.4129836360
439710.8658164490;4473220.9581305400;2014-05-29;1900-01-08;1;Centro;12;2;Embajadores;CAPITAN SALAZAR MARTINEZ, CALLE, DEL;5;0301210047;-3.7105328690;40.4074217050
439893.2192020000;4473279.2389430000;2014-05-29;1900-01-08;1;Centro;12;2;Embajadores;CARLOS ARNICHES, CALLE, DE;17;0301210037;-3.7083894910;40.4079602860
439996.8483450000;4473663.9107080000;2014-05-28;1900-01-08;1;Centro;12;2;Embajadores;CASCORRO, PLAZA, DE;1;0301210013;-3.7072044990;40.4114324670
440002.2865080000;4473502.2434570000;2014-05-28;1900-01-08;1;Centro;12;2;Embajadores;CASCORRO, PLAZA, DE;12;0301210022;-3.7071251450;40.4099766960
440180.5294127640;4473154.3782346700;2014-05-30;1900-01-08;1;Centro;12;2;Embajadores;CASINO, CALLE, DEL;12;0301210056;-3.7049919080;40.4068555080
440007.1415150000;4473050.5316820000;2014-05-30;1900-01-08;1;Centro;12;2;Embajadores;CASINO, CALLE, DEL;7;0301210067;-3.7070253930;40.4059076640
440052.8302660000;4473848.7498380000;2014-05-27;1900-01-08;1;Centro;12;2;Embajadores;COLEGIATA, CALLE, DE LA;10;0301210002;-3.7065622140;40.4131017800
440115.0089700510;4473821.9975596800;2014-05-27;1900-01-08;1;Centro;12;2;Embajadores;COLEGIATA, CALLE, DE LA;6;0301210003;-3.7058268800;40.4128658360
440216.1453336880;4473941.1091299200;2014-05-27;1900-01-08;1;Centro;12;2;Embajadores;CONCEPCION JERONIMA, CALLE, DE LA;4;0301210001;-3.7046461280;40.4139455750
440204.4056642660;4473863.7010720700;2014-05-28;1900-01-08;1;Centro;12;2;Embajadores;CONDE DE ROMANONES, CALLE, DEL;7;0301210004;-3.7047772210;40.4132476550
440286.5306642660;4473869.7010720700;2014-05-28;1900-01-08;1;Centro;12;2;Embajadores;DOCTOR CORTEZO, CALLE, DEL;7;0301210005;-3.7038098390;40.4133075860
440966.6727848110;4473341.5027841300;2014-05-29;1900-01-08;1;Centro;12;2;Embajadores;DOCTOR FOURQUET, CALLE, DEL;3;0301210041;-3.6957449430;40.4085973570
440779.7925400000;4473203.8592470000;2014-05-30;1900-01-08;1;Centro;12;2;Embajadores;DOCTOR FOURQUET, CALLE, DEL;FRENTE 20;0301210059;-3.6979345010;40.4073445280
440702.7560847710;4473362.3277741100;2014-05-29;1900-01-08;1;Centro;12;2;Embajadores;DOCTOR PIGA, CALLE, DEL;3;0301210040;-3.6988571350;40.4087663230
440061.5998791420;4473688.8364026500;2014-05-28;1900-01-08;1;Centro;12;2;Embajadores;DUQUE DE ALBA, CALLE, DEL;10;0301210012;-3.7064437830;40.4116617650
440032.1513591000;4473554.9589315000;2014-05-28;1900-01-08;1;Centro;12;2;Embajadores;EMBAJADORES, CALLE, DE;4;0301210021;-3.7067781620;40.4104536260
440206.2602898170;4473325.3834409100;2014-05-29;1900-01-08;1;Centro;12;2;Embajadores;EMBAJADORES, CALLE, DE;48;0301210038;-3.7047047420;40.4083987130
440339.4924411260;4473068.4851629800;2014-05-30;1900-01-08;1;Centro;12;2;Embajadores;EMBAJADORES, CALLE, DE;53;0301210065;-3.7031105440;40.4060937040
440357.5709535220;4473003.4025183500;2014-05-30;1900-01-08;1;Centro;12;2;Embajadores;EMBAJADORES, CALLE, DE;S/N;0301210070;-3.7028914450;40.4055083130
439986.2899617870;4473704.0223530600;2014-05-28;1900-01-08;1;Centro;12;2;Embajadores;ESTUDIOS, CALLE, DE LOS;10;0301210011;-3.7073327270;40.4117937740
439888.2589395860;4473426.8891814100;2014-05-28;1900-01-08;1;Centro;12;2;Embajadores;GENERAL VARA DE REY, PLAZA, DEL;9;0301210023;-3.7084619130;40.4092896620
440978.5870819670;4473279.7286551700;2014-05-29;1900-01-08;1;Centro;12;2;Embajadores;HOSPITAL, CALLE, DEL;10;0301210044;-3.6955987810;40.4080422760
440389.9158600000;4473534.7436200000;2014-05-28;1900-01-08;1;Centro;12;2;Embajadores;LAVAPIES, CALLE, DE;32;0301210020;-3.7025600460;40.4102971510
440551.1556642660;4473771.4510720700;2014-05-28;1900-01-08;1;Centro;12;2;Embajadores;MAGDALENA, CALLE, DE LA;25;0301210009;-3.7006819480;40.4124416180
440390.3393940000;4473765.5397270000;2014-05-28;1900-01-08;1;Centro;12;2;Embajadores;MAGDALENA, CALLE, DE LA;8;0301210008;-3.7025767190;40.4123768160
440770.5419920000;4473098.3402750000;2014-05-30;1900-01-08;1;Centro;12;2;Embajadores;MALLORCA, CALLE, DE;13;0301210062;-3.6980336800;40.4063928450
440946.9349840000;4473534.0072780000;2014-05-29;2021-09-17;1;Centro;12;2;Embajadores;MARQUES DE TOCA, CALLE, DEL;1;0301210029;-3.6959954400;40.4103308990
440519.0002330000;4473010.0158270000;2014-05-30;1900-01-08;1;Centro;12;2;Embajadores;MESON DE PAREDES, CALLE, DEL;85;0301210072;-3.7009896840;40.4055795310
440463.7059930000;4473077.1215030000;2014-05-30;1900-01-08;1;Centro;12;2;Embajadores;MIGUEL SERVET, CALLE, DE;19;0301210071;-3.7016476110;40.4061805640
439860.7817060000;4473262.1377830000;2014-05-29;1900-01-08;1;Centro;12;2;Embajadores;MIRA EL RIO BAJA, CALLE, DE;9;0301210045;-3.7087701070;40.4078039830
440083.6876450000;4473195.6714380000;2014-05-29;1900-01-08;1;Centro;12;2;Embajadores;MIRA EL SOL, CALLE, DE;15;0301210049;-3.7061370220;40.4072211130
440463.0805953960;4473661.0471464500;2014-05-28;1900-01-08;1;Centro;12;2;Embajadores;OLIVAR, CALLE, DEL;12;0301210014;-3.7017096050;40.4114404310
440575.4563950000;4473490.1091000000;2014-05-28;2025-10-20;1;Centro;12;2;Embajadores;PRIMAVERA, CALLE, DE LA;3;0301210027;-3.7003691700;40.4099082850
439658.2026206140;4473176.3045462400;2014-05-29;2023-09-11;1;Centro;12;2;Embajadores;PUERTA DE TOLEDO, GLORIETA, DE LA;1;0301210046;-3.7111493140;40.4070153640
439977.2855200930;4473216.0522434800;2014-05-29;1900-01-08;1;Centro;12;2;Embajadores;RIBERA DE CURTIDORES, CALLE, DE LA;20;0301210048;-3.7073927730;40.4073967820
440000.6490740000;4473116.8437470000;2014-05-30;1900-01-08;1;Centro;12;2;Embajadores;RIBERA DE CURTIDORES, CALLE, DE LA;39;0301210055;-3.7071081850;40.4065052020
439975.8364290000;4473389.5450840000;2014-05-28;1900-01-08;1;Centro;12;2;Embajadores;RIBERA DE CURTIDORES, CALLE, DE LA;6;0301210025;-3.7074262910;40.4089593520
440756.0200014710;4473470.3574096800;2014-05-29;1900-01-08;1;Centro;12;2;Embajadores;SALITRE, CALLE, DEL;16;0301210030;-3.6982394290;40.4097437890
440464.9707423600;4473548.1507617000;2014-05-28;1900-01-08;1;Centro;12;2;Embajadores;SAN CARLOS, CALLE, DE;9;0301210026;-3.7016767170;40.4104233170
440823.0003779230;4473616.9333007500;2014-05-28;2021-07-08;1;Centro;12;2;Embajadores;SAN ILDEFONSO, CALLE, DE;1;0301210028;-3.6974637010;40.4110688680
440732.0912870130;4473617.0334208900;2014-05-28;1900-01-08;1;Centro;12;2;Embajadores;SANTA ISABEL, CALLE, DE;26;0301210017;-3.6985350750;40.4110632530
440840.2210427200;4473502.2957356700;2014-05-29;1900-01-08;1;Centro;12;2;Embajadores;SANTA ISABEL, CALLE, DE;31;0301210032;-3.6972501600;40.4100376590
440959.0599970000;4473436.1709660000;2014-05-29;1900-01-08;1;Centro;12;2;Embajadores;SANTA ISABEL, CALLE, DE;FRENTE 48 B;0301210034;-3.6958434340;40.4094496900
440666.7903580000;4473234.7178020000;2014-05-29;1900-01-08;1;Centro;12;2;Embajadores;SOMBRERERIA, CALLE, DE LA;14 A;0301210051;-3.6992690910;40.4076147920
440158.2389975990;4473779.5760720700;2014-05-30;1900-01-08;1;Centro;12;2;Embajadores;TIRSO DE MOLINA, PLAZA, DE;14;0301210054;-3.7053133380;40.4124859070
439672.3970810000;4473278.0324660000;2014-05-29;1900-01-08;1;Centro;12;2;Embajadores;TOLEDO, CALLE, DE;115;0301210035;-3.7109916930;40.4079334140
439939.0723309330;4473722.4927387400;2014-05-28;1900-01-08;1;Centro;12;2;Embajadores;TOLEDO, CALLE, DE;49;0301210010;-3.7078909600;40.4119564370
440128.3393830000;4473020.4282010000;2014-05-30;2017-11-17;1;Centro;12;2;Embajadores;TOLEDO, RONDA, DE;9;0301210068;-3.7055943160;40.4056453640
440207.9841766630;4473001.7496257900;2014-05-30;1900-01-08;1;Centro;12;2;Embajadores;TOLEDO, RONDA, DE;S/N;0301210069;-3.7046539780;40.4054831030
440656.0070880000;4473585.9892250000;2014-05-28;2026-05-28;1;Centro;12;2;Embajadores;TORRECILLA DEL LEAL, CALLE, DE LA;13;0301210018;-3.6994288890;40.4107779780
440695.5187390000;4473479.6984340000;2014-05-29;1900-01-08;1;Centro;12;2;Embajadores;TORRECILLA DEL LEAL, CALLE, DE LA;32;0301210031;-3.6989533340;40.4098230290
440334.8306710000;4473220.7998550000;2014-05-29;2017-03-29;1;Centro;12;2;Embajadores;TRIBULETE, CALLE, DEL;23;0301210050;-3.7031798150;40.4074655370
