CÓDIGO APARC;NOMBRE APARC;TIPO;PZS ROTACIÓN;PZS RESIDENTES;PZS DISUASORIAS;PZS TOTALES;NUM PLANTAS;ESTADO;PRIVADO;DISUASORIO;COD DISTRITO;DISTRITO;COD BARRIO;BARRIO;COD SER;LATITUD;LONGITUD;COD CATASTRO;URL;COD PK;DIRECCIÓN
1901;VILLACARLOS;RESIDENCIAL;;316;;316;3;ABIERTO;NO;NO;19;VICÁLVARO           ;1;CASCO H.VICALVARO;0;40.4060711909959;-3.60788043711702;8631312VK4783B0001UT;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=bd217339ae51c010VgnVCM2000000c205a0aRCRD;13607;CALLE DE VILLACARLOS NUM 10(D), 28032 MADRID
1514;VILLAESCUSA;RESIDENCIAL;;228;;228;3;ABIERTO;NO;NO;15;CIUDAD LINEAL       ;2;PUEBLO NUEVO;0;40.41943124968532; -3.6294595362862476;6747104VK4764F0001IR;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=04517339ae51c010VgnVCM2000000c205a0aRCRD;13608;CALLE DE MATAMOROSA NUM 2 PLTA -2, 28017 MADRID
1003;VILLAMANÍN I;RESIDENCIAL;;195;;195;3;ABIERTO;NO;NO;10;LATINA              ;3;LUCERO;0;40.4061952854288;-3.75337659955903;6333442VK3763C0001QJ;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=5a717339ae51c010VgnVCM2000000c205a0aRCRD;13609;CALLE DE VILLAMANÍN NUM 37(P) PLTA -3, 28011 MADRID
1011;VILLAMANÍN II;RESIDENCIAL;;307;;307;3;ABIERTO;NO;NO;10;LATINA              ;3;LUCERO;0;40.4059045304646;-3.75418319828382;6031314VK3763A0001QX;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=a0a17339ae51c010VgnVCM2000000c205a0aRCRD;13528;CALLE DE VILLAMANÍN NUM 50(P) PLTA -4, 28011 MADRID
820;VIRGEN DE ARÁNZAZU;RESIDENCIAL;;238;;238;4;ABIERTO;NO;NO;8;FUENCARRAL-EL PARDO ;6;VALVERDE;0;40.486552891873416; -3.689816678148437;1621401VK4812B0001BA;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=2e07bdc85c01c010VgnVCM2000000c205a0aRCRD;81866;CALLE DE LA VIRGEN DE ARÁNZAZU NUM 23(P), 28034 MADRID
1510;VIRGEN DE LA ALEGRÍA;RESIDENCIAL;;138;;138;2;ABIERTO;NO;NO;15;CIUDAD LINEAL       ;4;CONCEPCION;0;40.43406048233506; -3.656701823170881;4363417VK4746C0001TE;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=f6c17339ae51c010VgnVCM2000000c205a0aRCRD;13610;CALLE DE LA VIRGEN DE LA ALEGRÍA NUM 19(C), 28027 MADRID
1502;VIRGEN DE LA ROCA I;RESIDENCIAL;;172;;172;2;ABIERTO;NO;NO;15;CIUDAD LINEAL       ;4;CONCEPCION;0;40.43419545405507; -3.658200551748118;4363416VK4746C0001LE;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=4de17339ae51c010VgnVCM2000000c205a0aRCRD;13612;CALLE DE LA VIRGEN DE LA ROCA NUM 4, 28027 MADRID
1503;VIRGEN DE LA ROCA II;RESIDENCIAL;;203;;203;2;ABIERTO;NO;NO;15;CIUDAD LINEAL       ;4;CONCEPCION;0;40.43529607700225; -3.6574250978353193;4365138VK4746F0001MU;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=93127339ae51c010VgnVCM2000000c205a0aRCRD;13613;CALLE DE LA VIRGEN DE LA ROCA NUM 6(A), 28027 MADRID
1521;VIRGEN DE LOURDES;RESIDENCIAL;;296;;296;3;ABIERTO;NO;NO;15;CIUDAD LINEAL       ;4;CONCEPCION;0;40.43597661134019; -3.657195189643075;4365139VK4746F0001OU;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=e9327339ae51c010VgnVCM2000000c205a0aRCRD;13639;CALLE DE LA VIRGEN DE LOURDES NUM 40(B), 28027 MADRID
206;VIRGEN DEL PUERTO;RESIDENCIAL;;793;;793;3;ABIERTO;NO;NO;2;ARGANZUELA          ;1;IMPERIAL;21;40.4134630479791;-3.72094736367542;8940407VK3784B0001XP;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=b2937339ae51c010VgnVCM2000000c205a0aRCRD;13611;PASEO DE LA VIRGEN DEL PUERTO NUM 7(P), 28005 MADRID
1525;VIRGEN DEL ROMERO;RESIDENCIAL;;404;;404;3;ABIERTO;NO;NO;15;CIUDAD LINEAL       ;4;CONCEPCION;0;40.43836519890891; -3.6510870622808604;4868601VK4746H0001LW;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=bc0259c4f79d4410VgnVCM1000000b205a0aRCRD;7397971;PLAZA DE LA VIRGEN DEL ROMERO NUM 9, 28027 MADRID
1104;VISTA ALEGRE;RESIDENCIAL;;402;;402;3;ABIERTO;NO;NO;11;CARABANCHEL         ;4;VISTA ALEGRE;0;40.385867288174;-3.73973577923161;7310502VK3771A0001EG;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=aa6015cbed51c010VgnVCM2000000c205a0aRCRD;13614;AVENIDA DE LA PLAZA DE TOROS S/N P, 28025 MADRID
1508;VITAL AZA;RESIDENCIAL;;202;;202;2;ABIERTO;NO;NO;15;CIUDAD LINEAL       ;2;PUEBLO NUEVO;0;40.43074926440721; -3.6443505402381953;5459404VK4755G0001UE;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=30627339ae51c010VgnVCM2000000c205a0aRCRD;13493;CALLE DE VITAL AZA NUM 10(P) PLTA -2, 28017 MADRID
