FID,ID,NOMBRE,DESCRIPCION,DIRECCION,SDOGEOMETRIA,URL,EMAIL,CONTACTO,HORARIOS,PRECIOS,TITULARIDAD,TARJETAJOVEN,ACCESOPMR,LONGITUD
da_aparcamientosMoto.fid--175d4967_1a00d9bb795_2dbd,78082,APARCAMOTOS_346,Paseo Marítimo Pablo Ruíz Picasso esquina con C/ Gutenberg,"PASEO MARÍTIMO PABLO RUIZ PICASSO, 18 ",POINT (374562.290806563 4064781.54037015),,,,,,MUNICIPAL,No,No,30
da_aparcamientosMoto.fid--175d4967_1a00d9bb795_2dbe,65784,APARCAMOTOS_328,Junto a Eshmún Sport Clinic,"CALLE DE LA MINILLA, 2 ",POINT (375498.000165713 4066203.99990976),,,,,,MUNICIPAL,No,No,12
da_aparcamientosMoto.fid--175d4967_1a00d9bb795_2dbf,65703,APARCAMOTOS_179,Esq. Pío Baroja,"PLAZA MIRAMAR DEL PALO, 7 ",POINT (378372.497824593 4064726.35978915),,,,24 h,,MUNICIPAL,No,No,44
da_aparcamientosMoto.fid--175d4967_1a00d9bb795_2dc0,78114,APARCAMOTOS_355,,"PASEO MARÍTIMO PABLO RUIZ PICASSO, 71 ",POINT (375583.027561325 4065066.51676305),,,,,,MUNICIPAL,No,No,15
da_aparcamientosMoto.fid--175d4967_1a00d9bb795_2dc1,65721,APARCAMOTOS_142,Esquina Obispo Ángel Herrera Oria,"CALLE PEDRO GÓMEZ CHAIX, 2 ",POINT (371323.126673738 4064580.69557364),,,,Laborables 8 a 18 h.,,MUNICIPAL,No,No,12
da_aparcamientosMoto.fid--175d4967_1a00d9bb795_2dc2,74965,APARCAMOTOS_337,,"AVENIDA DEL COMANDANTE BENÍTEZ, 10 ",POINT (372666.416964308 4064030.23810711),,,,,,MUNICIPAL,No,No,9
da_aparcamientosMoto.fid--175d4967_1a00d9bb795_2dc3,65788,APARCAMOTOS_268,"Esq. con Cl. Navalón
","AVENIDA DEL COMANDANTE BENÍTEZ, 11 ",POINT (372674.675390715 4064014.09839046),,,,24 h.,,MUNICIPAL,No,No,10
da_aparcamientosMoto.fid--175d4967_1a00d9bb795_2dc4,65787,APARCAMOTOS_246,"Esq. con Cl. Navalón
","AVENIDA DEL COMANDANTE BENÍTEZ, 11 ",POINT (372668.972308069 4064015.07094025),,,,24 h.,,MUNICIPAL,No,No,10
da_aparcamientosMoto.fid--175d4967_1a00d9bb795_2dc5,65743,APARCAMOTOS_248,Frente a Cl. Roma,"JARDINES ALCALDE PEDRO LUIS ALONSO, 1 ",POINT (373674.924840781 4064833.59763324),,,,24 h.,,MUNICIPAL,No,No,10
da_aparcamientosMoto.fid--175d4967_1a00d9bb795_2dc6,65794,APARCAMOTOS_270,Esq. con Cl. Roma,"JARDINES ALCALDE PEDRO LUIS ALONSO, 1 ",POINT (373687.939264048 4064831.74105749),,,,24 h.,,MUNICIPAL,No,No,48
da_aparcamientosMoto.fid--175d4967_1a00d9bb795_2dc7,78101,APARCAMOTOS_347,,"CALLE PACÍFICO, 15 ",POINT (371557.102978556 4062274.92431003),,,,,,MUNICIPAL,No,No,15
