FID,ID,NOMBRE,DESCRIPCION,DIRECCION,SDOGEOMETRIA,URL,EMAIL,CONTACTO,HORARIOS,PRECIOS,TITULARIDAD,TARJETAJOVEN,ACCESOPMR,LONGITUD
da_aparcamientosMoto.fid--175d4967_1a012c2fafb_2725,65601,APARCAMOTOS_210,Esq. Obispo José de Gómez,"CALLE OBISPO JOSÉ DE GÓMEZ, 2 ",POINT (-4.419871000018196 36.73566603764691),,,,24 h,,MUNICIPAL,No,No,9
da_aparcamientosMoto.fid--175d4967_1a012c2fafb_2726,65872,APARCAMOTOS_333,Esquina con Avda. Salvador Allende,"CALLE ARQUITECTO EDUARDO ESTEVE, 11 ",POINT (-4.363056500016747 36.71997654762709),,,,,,MUNICIPAL,No,No,32
da_aparcamientosMoto.fid--175d4967_1a012c2fafb_2727,65870,APARCAMOTOS_330,esquina con C/ Albéniz,"CALLE BOCANA, 2 ",POINT (-4.418712270018167 36.734920407645966),,,,,,MUNICIPAL,No,No,18
da_aparcamientosMoto.fid--175d4967_1a012c2fafb_2728,65720,APARCAMOTOS_149,,"CAMINO DE LA DESVIACIÓN, 18 ",POINT (-4.383887000017254 36.72335003763133),,,,24 h.,,MUNICIPAL,No,No,5
da_aparcamientosMoto.fid--175d4967_1a012c2fafb_2729,65656,APARCAMOTOS_070,Esq. Ingeniero José Maria Garnica,"CALLE CANALES, 22 ",POINT (-4.428511000018361 36.7103640376147),,,,Laborables 8 a 15 h.,,MUNICIPAL,No,No,30
da_aparcamientosMoto.fid--175d4967_1a012c2fafb_272a,65655,APARCAMOTOS_063,,"PLAZA EJIDO, 1 ",POINT (-4.41938100001816 36.72785603763699),,,,Lectivos 8 a 20 h.,,MUNICIPAL,No,No,19
da_aparcamientosMoto.fid--175d4967_1a012c2fafb_272b,65763,APARCAMOTOS_300,,"CALLE BENAHAVÍS, 10 ",POINT (-4.464783700019314 36.68350506758037),,,,,,MUNICIPAL,No,No,10
da_aparcamientosMoto.fid--175d4967_1a012c2fafb_272c,65587,APARCAMOTOS_190,Esq. Calderón y Cubero,"PASEO DE LOS TILOS, 45 ",POINT (-4.43691400001859 36.713148037618254),,,,24 h,,MUNICIPAL,No,No,16
da_aparcamientosMoto.fid--175d4967_1a012c2fafb_272d,65862,APARCAMOTOS_062,,"PLAZA EJIDO, 7 ",POINT (-4.418618000018145 36.72783103763693),,,,Lectivos 8 a 20 h.,,MUNICIPAL,No,No,12
da_aparcamientosMoto.fid--175d4967_1a012c2fafb_272e,65643,APARCAMOTOS_095,Días lectivos de 7:30 a 14:30 horas,"CALLE DEL CIPRÉS, 18 ",POINT (-4.448087000018939 36.724448037632534),,,,Lectivos 7:30 a14:30,,MUNICIPAL,No,No,8
da_aparcamientosMoto.fid--175d4967_1a012c2fafb_272f,65850,APARCAMOTOS_123,Facultad de Ciencias de la Información y Turismo.,"CALLE DE LEÓN TOLSTOI, 7 ",POINT (-4.470363000019564 36.71475803762023),,,,24 h.,,MUNICIPAL,No,No,15
da_aparcamientosMoto.fid--175d4967_1a012c2fafb_2730,65828,APARCAMOTOS_094,Esq.Camino Suárez,"CALLE BLAS DE LEZO, 3 ",POINT (-4.434834122676362 36.72739238765318),,,,Laborables 9 a 21h,,MUNICIPAL,No,No,11
da_aparcamientosMoto.fid--175d4967_1a012c2fafb_2731,65678,APARCAMOTOS_137,Esq. Pasillo de Atocha,"CALLE PANADEROS, 26 ",POINT (-4.4254300000182925 36.717407037623666),,,,24 h.,,MUNICIPAL,No,No,25
da_aparcamientosMoto.fid--175d4967_1a012c2fafb_2732,79309,APARCAMOTOS_380,C/ José Canalejas esquina con la Plaza Eduardo Dato,"CALLE JOSÉ CANALEJAS, 6 ",POINT (-4.436477696938288 36.72950447663267),,,,,,MUNICIPAL,No,No,10
da_aparcamientosMoto.fid--175d4967_1a012c2fafb_2733,65808,APARCAMOTOS_292,Esq. con Cl. Tomás Echeverria,"CALLE DE ANTONIO SOLER, 5 ",POINT (-4.434506756453879 36.70408165492796),,,,24 h.,,MUNICIPAL,No,No,28
da_aparcamientosMoto.fid--175d4967_1a012c2fafb_2734,75545,APARCAMOTOS_060_B,Frente a Calle Sagasta,"PLAZA DE ARRIOLA, 8 ",POINT (-4.42488480402314 36.718718651988574),,,,Laborables de 15 a 5h y no laborables 24h,,MUNICIPAL,No,No,26
da_aparcamientosMoto.fid--175d4967_1a012c2fafb_2735,65858,APARCAMOTOS_047,Esquina c/ Ordóñez,"CALLE PANADEROS, 20 ",POINT (-4.424734000018273 36.71756903762387),,,,24 h.,,MUNICIPAL,No,No,48
